flight_id,airline,source,destination,departure_time,duration_hrs,total_stops,ticket_price
FL-001,Indigo,Delhi,Mumbai,08:00,2.5,0,150
FL-002,AirAsia,Delhi,Bangalore,09:30,4.2,1,180
FL-003,Vistara,Mumbai,Chennai,11:15,2.0,0,140
FL-004,Indigo,Kolkata,Delhi,14:00,2.8,0,165
FL-005,SpiceJet,Bangalore,Mumbai,06:45,3.7,1,175
FL-006,GoFirst,Delhi,Hyderabad,16:30,2.2,0,135
FL-007,AirIndia,Mumbai,Kolkata,19:00,4.5,1,195
FL-008,Vistara,Chennai,Delhi,21:15,3.1,0,185
FL-009,Indigo,Delhi,Pune,07:30,2.1,0,145
FL-010,SpiceJet,Bangalore,Kolkata,10:45,4.8,1,210
FL-011,AirAsia,Mumbai,Goa,13:20,1.5,0,95
FL-012,Indigo,Delhi,Mumbai,18:00,2.5,0,210
FL-013,AirIndia,Chennai,Bangalore,08:45,1.2,0,85
FL-014,Vistara,Kolkata,Mumbai,15:30,4.0,1,190
FL-015,Indigo,Delhi,Chennai,20:00,3.5,0,175
